x,y,z,var.x,var.y 
112.100000,0.100000,112.100000,10.000000,0.000000 
112.200000,0.100000,112.200000,10.000000,-0.000000 
112.300000,0.100000,112.300000,10.000000,-0.000000 
112.400000,0.100000,112.400000,10.000000,-0.000000 
112.500000,0.100000,112.500000,10.000000,0.000000 
112.600000,0.100000,112.600000,10.000000,0.000000 
112.700000,0.100000,112.700000,10.000000,0.000000 
112.800000,0.100000,112.800000,10.000000,0.000000 
112.900000,0.100000,112.900000,10.000000,0.000000 
113.000000,0.100000,113.000000,10.000000,0.000000 
113.100000,0.100000,113.100000,10.000000,-0.000000 
113.200000,0.100000,113.200000,10.000000,-0.000000 
113.300000,0.100000,113.300000,10.000000,-0.000000 
113.400000,0.100000,113.400000,10.000000,0.000000 
113.500000,0.100000,113.500000,10.000000,0.000000 
113.600000,0.100000,113.600000,10.000000,0.000000 
113.700000,0.100000,113.700000,10.000000,-0.000000 
113.800000,0.100000,113.800000,10.000000,-0.000000 
113.900000,0.100000,113.900000,10.000000,-0.000000 
114.000000,0.100000,114.000000,10.000000,0.000000 
114.100000,0.100000,114.100000,10.000000,0.000000 
114.200000,0.100000,114.200000,10.000000,0.000000 
114.300000,0.100000,114.300000,10.000000,0.000000 
114.400000,0.100000,114.400000,10.000000,0.000000 
114.500000,0.100000,114.500000,10.000000,-0.000000 
114.600000,0.100000,114.600000,10.000000,-0.000000 
114.700000,0.100000,114.700000,10.000000,-0.000000 
114.800000,0.100000,114.800000,10.000000,-0.000000 
114.900000,0.100000,114.900000,10.000000,0.000000 
115.000000,0.100000,115.000000,10.000000,0.000000 
115.100000,0.100000,115.100000,10.000000,0.000000 
115.200000,0.100000,115.200000,10.000000,0.000000 
115.300000,0.100000,115.300000,10.000000,0.000000 
115.400000,0.100000,115.400000,10.000000,-0.000000 
115.500000,0.100000,115.500000,10.000000,0.000000 
115.600000,0.100000,115.600000,10.000000,0.000000 
115.700000,0.100000,115.700000,10.000000,-0.000000 
115.800000,0.100000,115.800000,10.000000,-0.000000 
115.900000,0.100000,115.900000,10.000000,-0.000000 
116.000000,0.100000,116.000000,10.000000,0.000000 
116.100000,0.100000,116.100000,10.000000,0.000000 
116.200000,0.100000,116.200000,10.000000,0.000000 
116.300000,0.100000,116.300000,10.000000,0.000000 
116.400000,0.100000,116.400000,10.000000,-0.000000 
116.500000,0.100000,116.500000,10.000000,-0.000000 
116.600000,0.100000,116.600000,10.000000,0.000000 
116.700000,0.100000,116.700000,10.000000,0.000000 
116.800000,0.100000,116.800000,10.000000,0.000000 
116.900000,0.100000,116.900000,10.000000,-0.000000 
117.000000,0.100000,117.000000,10.000000,-0.000000 
117.100000,0.100000,117.100000,10.000000,-0.000000 
117.200000,0.100000,117.200000,10.000000,0.000000 
117.300000,0.100000,117.300000,10.000000,0.000000 
117.400000,0.100000,117.400000,10.000000,0.000000 
117.500000,0.100000,117.500000,10.000000,0.000000 
117.600000,0.100000,117.600000,10.000000,0.000000 
117.700000,0.100000,117.700000,10.000000,0.000000 
117.800000,0.100000,117.800000,10.000000,0.000000 
117.900000,0.100000,117.900000,10.000000,-0.000000 
118.000000,0.100000,118.000000,10.000000,-0.000000 
118.100000,0.100000,118.100000,10.000000,-0.000000 
118.200000,0.100000,118.200000,10.000000,-0.000000 
118.300000,0.100000,118.300000,10.000000,-0.000000 
118.400000,0.100000,118.400000,10.000000,-0.000000 
118.500000,0.100000,118.500000,10.000000,0.000000 
118.600000,0.100000,118.600000,10.000000,0.000000 
118.700000,0.100000,118.700000,10.000000,0.000000 
118.800000,0.100000,118.800000,10.000000,0.000000 
118.900000,0.100000,118.900000,10.000000,0.000000 
119.000000,0.100000,119.000000,10.000000,0.000000 
119.100000,0.100000,119.100000,10.000000,-0.000000 
119.200000,0.100000,119.200000,10.000000,0.000000 
119.300000,0.100000,119.300000,10.000000,-0.000000 
119.400000,0.100000,119.400000,10.000000,-0.000000 
119.500000,0.100000,119.500000,10.000000,-0.000000 
119.600000,0.100000,119.600000,10.000000,-0.000000 
119.700000,0.100000,119.700000,10.000000,0.000000 
119.800000,0.100000,119.800000,10.000000,0.000000 
119.900000,0.100000,119.900000,10.000000,0.000000 
120.000000,0.100000,120.000000,10.000000,-0.000000 
120.100000,0.100000,120.100000,10.000000,-0.000000 
120.200000,0.100000,120.200000,10.000000,0.000000 
120.300000,0.100000,120.300000,10.000000,0.000000 
120.400000,0.100000,120.400000,10.000000,0.000000 
120.500000,0.100000,120.500000,10.000000,0.000000 
120.600000,0.100000,120.600000,10.000000,-0.000000 
120.700000,0.100000,120.700000,10.000000,-0.000000 
120.800000,0.100000,120.800000,10.000000,-0.000000 
120.900000,0.100000,120.900000,10.000000,0.000000 
121.000000,0.100000,121.000000,10.000000,-0.000000 
121.100000,0.100000,121.100000,10.000000,0.000000 
121.200000,0.100000,121.200000,10.000000,0.000000 
121.300000,0.100000,121.300000,10.000000,0.000000 
121.400000,0.100000,121.400000,10.000000,0.000000 
121.500000,0.100000,121.500000,10.000000,0.000000 
121.600000,0.100000,121.600000,10.000000,0.000000 
121.700000,0.100000,121.700000,10.000000,-0.000000 
121.800000,0.100000,121.800000,10.000000,-0.000000 
121.900000,0.100000,121.900000,10.000000,-0.000000 
122.000000,0.100000,122.000000,10.000000,-0.000000 
122.100000,0.100000,122.100000,10.000000,-0.000000 
122.200000,0.100000,122.200000,10.000000,0.000000 
122.300000,0.100000,122.300000,10.000000,0.000000 
122.400000,0.100000,122.400000,10.000000,0.000000 
122.500000,0.100000,122.500000,10.000000,0.000000 
122.600000,0.100000,122.600000,10.000000,0.000000 
122.700000,0.100000,122.700000,10.000000,0.000000 
122.800000,0.100000,122.800000,10.000000,-0.000000 
122.900000,0.100000,122.900000,10.000000,-0.000000 
123.000000,0.100000,123.000000,10.000000,0.000000 
123.100000,0.100000,123.100000,10.000000,0.000000 
123.200000,0.100000,123.200000,10.000000,0.000000 
123.300000,0.100000,123.300000,10.000000,0.000000 
123.400000,0.100000,123.400000,10.000000,-0.000000 
123.500000,0.100000,123.500000,10.000000,-0.000000 
123.600000,0.100000,123.600000,10.000000,-0.000000 
123.700000,0.100000,123.700000,10.000000,0.000000 
123.800000,0.100000,123.800000,10.000000,0.000000 
123.900000,0.100000,123.900000,10.000000,0.000000 
124.000000,0.100000,124.000000,10.000000,0.000000 
124.100000,0.100000,124.100000,10.000000,0.000000 
124.200000,0.100000,124.200000,10.000000,0.000000 
124.300000,0.100000,124.300000,10.000000,0.000000 
124.400000,0.100000,124.400000,10.000000,0.000000 
124.500000,0.100000,124.500000,10.000000,0.000000 
124.600000,0.100000,124.600000,10.000000,-0.000000 
124.700000,0.100000,124.700000,10.000000,-0.000000 
124.800000,0.100000,124.800000,10.000000,-0.000000 
124.900000,0.100000,124.900000,10.000000,0.000000 
125.000000,0.100000,125.000000,10.000000,0.000000 
125.100000,0.100000,125.100000,10.000000,0.000000 
125.200000,0.100000,125.200000,10.000000,0.000000 
125.300000,0.100000,125.300000,10.000000,0.000000 
125.400000,0.100000,125.400000,10.000000,0.000000 
125.500000,0.100000,125.500000,10.000000,0.000000 
125.600000,0.100000,125.600000,10.000000,0.000000 
125.700000,0.100000,125.700000,10.000000,0.000000 
125.800000,0.100000,125.800000,10.000000,0.000000 
125.900000,0.100000,125.900000,10.000000,-0.000000 
126.000000,0.100000,126.000000,10.000000,-0.000000 
126.100000,0.100000,126.100000,10.000000,-0.000000 
126.200000,0.100000,126.200000,10.000000,0.000000 
126.300000,0.100000,126.300000,10.000000,0.000000 
126.400000,0.100000,126.400000,10.000000,0.000000 
126.500000,0.100000,126.500000,10.000000,-0.000000 
126.600000,0.100000,126.600000,10.000000,-0.000000 
126.700000,0.100000,126.700000,10.000000,0.000000 
126.800000,0.100000,126.800000,10.000000,0.000000 
126.900000,0.100000,126.900000,10.000000,-0.000000 
127.000000,0.100000,127.000000,10.000000,-0.000000 
127.100000,0.100000,127.100000,10.000000,0.000000 
127.200000,0.100000,127.200000,10.000000,0.000000 
127.300000,0.100000,127.300000,10.000000,0.000000 
127.400000,0.100000,127.400000,10.000000,-0.000000 
127.500000,0.100000,127.500000,10.000000,-0.000000 
127.600000,0.100000,127.600000,10.000000,-0.000000 
127.700000,0.100000,127.700000,10.000000,0.000000 
127.800000,0.100000,127.800000,10.000000,0.000000 
127.900000,0.100000,127.900000,10.000000,0.000000 
128.000000,0.100000,128.000000,10.000000,0.000000 
128.100000,0.100000,128.100000,10.000000,0.000000 
128.200000,0.100000,128.200000,10.000000,0.000000 
128.300000,0.100000,128.300000,10.000000,0.000000 
128.400000,0.100000,128.400000,10.000000,-0.000000 
128.500000,0.100000,128.500000,10.000000,-0.000000 
128.600000,0.100000,128.600000,10.000000,-0.000000 
128.700000,0.100000,128.700000,10.000000,0.000000 
128.800000,0.100000,128.800000,10.000000,0.000000 
128.900000,0.100000,128.900000,10.000000,0.000000 
129.000000,0.100000,129.000000,10.000000,0.000000 
129.100000,0.100000,129.100000,10.000000,-0.000000 
129.200000,0.100000,129.200000,10.000000,-0.000000 
129.300000,0.100000,129.300000,10.000000,0.000000 
129.400000,0.100000,129.400000,10.000000,0.000000 
129.500000,0.100000,129.500000,10.000000,0.000000 
129.600000,0.100000,129.600000,10.000000,-0.000000 
129.700000,0.100000,129.700000,10.000000,-0.000000 
129.800000,0.100000,129.800000,10.000000,-0.000000 
